"id","permit_","permit_type","review_type","application_start_date","issue_date","processing_time","street_number","street_direction","street_name","work_description","building_fee_paid","zoning_fee_paid","other_fee_paid","subtotal_paid","building_fee_unpaid","zoning_fee_unpaid","other_fee_unpaid","subtotal_unpaid","building_fee_waived","zoning_fee_waived","other_fee_waived","subtotal_waived","total_fee","reported_cost","community_area","census_tract","ward","latitude","longitude","location",":id",":version",":created_at",":updated_at",":@computed_region_rpca_8um6",":@computed_region_vrxf_vc4k",":@computed_region_6mkv_f3dw",":@computed_region_bdys_3d7i",":@computed_region_43wa_7qmu",":@computed_region_awaf_s7ux"
"3439098","101079125","PERMIT - RENOVATION/ALTERATION","SELF CERT","2026-02-03T00:00:00.000","2026-03-09T00:00:00.000","34","1009","N","RUSH ST","SC 2019 CBRC: INTERIOR NON-STRUCTURAL DEMOLITION OF EXISTING SECOND FLOOR RESTAURANT SPACE","841.89","75","0","916.89","0","0","0","0","0","0","0","0","916.89","70000","8","81201","42","41.901042374044735","-87.62749014771335","POINT (-87.627490147713 41.901042374045)","row-nbe3_fwft_f5nw","rv-azvc_7xhd-e6wf","2026-03-10T12:11:53.857Z","2026-03-10T12:12:17.712Z","6","37","21182","104","36","22"
"N2847711","B200460166","PERMIT – EXPRESS PERMIT PROGRAM","EXPRESS PERMIT PROGRAM","2026-02-24T00:00:00.000","2026-03-09T00:00:00.000","13","1733","N","HALSTED ST",".SCOPE: NONSTRUCTURAL INTERIOR ALTERATION OF EXISTING KITCHEN STORAGE AREA TO FILL IN FLOOR WITH NON-STRUCTURAL SLEEPERS AT BACK OF EXISTING RESTAURANT. CEMENT BOARD UNDERLAYMENT ATTACHED TO PLYWOOD SUBFLOOR. NO OTHER WORK. LOCATIONS: 0 RESIDENTIAL UNIT(S), 1 NON-RESIDENTIAL UNIT(S), KITCHEN STORAGE AREA.","0","0","25","25","0","0","0","0","250","50","0","300","325","15000","7","71800","2","41.91377696219507","-87.6482130854967","POINT (-87.648213085497 41.913776962195)","row-9pym_9jqk-fwih","rv-en37_r4q3~nvm8","2026-03-10T12:11:53.857Z","2026-03-10T12:12:17.712Z","16","68","21190","273","11","51"
"3421485","101071996","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2025-08-06T00:00:00.000","2026-03-05T00:00:00.000","211","346","W","ARMITAGE AVE","SPR 2019 CBRC - NO CHANGE IN USE OR OCCUPANCY. INTERIOR RENOVATION OF AN EXISTING GENERAL RESTAURANT USE AND A-2 OCCUPANCY. EXTERIOR REPAIRS AND MODIFICATIONS TO PROVIDED ACCESSIBILITY TO LOWER LEVEL. NEW EXTERIOR MECHANICAL EQUIPMENT TO MEET CODE REQUIRED VENTILATION. WORK REQUIRED TO ADDRESS PREVIOUS CODE VIOLATIONS FROM 2014. A NON-COMPLIANT STRUCTURE AT THE GROUND FLOOR WILL BE REMOVED. A NON-COMPLIANT STRUCTURE AT THE FIRST FLOOR WILL BE PERMITTED UNDER THIS APPLICATION. CODE VIOLATIONS RELATED TO THE PORCH SYSTEM AND OTHER RELATED VIOLATIONS WILL BE ADDRESSED UNDER THIS PERMIT AS DESCRIBED ON THE DRAWINGS.**CERTIFIED CORRECTIONS SUBJECT TO FIELD INSPECTIONS & AUDIT **","1800","75","0","1875","0","0","0","0","0","0","0","0","1875","500000","7","71400","43","41.91844043280386","-87.63825828564545","POINT (-87.638258285645 41.918440432804)","row-sz9u-5w89.i5sn","rv-z64r~8zq9-c4hh","2026-03-06T13:19:13.393Z","2026-03-07T13:16:45.073Z","16","68","21190","207","34","51"
"N2851961","B200461268","PERMIT – EXPRESS PERMIT PROGRAM","EXPRESS PERMIT PROGRAM","2026-03-05T00:00:00.000","2026-03-05T00:00:00.000","0","4425","W","NORTH AVE","LOW VOLTAGE/COMMUNICATION ELECTRICAL WORK. INSTALL AUDIO. SPECIFIC LOCATION: INTERIOR RESTAURANT.","75","0","25","100","0","0","0","0","0","0","0","0","100","5500","23","230600","37","41.909629112296","-87.7373610257755","POINT (-87.737361025775 41.909629112296)","row-zfrf~scat-hrfz","rv-shs2~6apd~gjqk","2026-03-06T13:19:13.393Z","2026-03-06T13:19:33.196Z","5","24","4299","286","45","4"
"3441975","101080335","PERMIT - RENOVATION/ALTERATION","SELF CERT","2026-03-02T00:00:00.000","2026-03-04T00:00:00.000","2","30","N","LA SALLE ST","SELF-CERT 2019 CBRC:: INTERIOR ALTERATIONS TO EXISTING GROUND FLOOR RESTAURANT SPACE FOR A NEW TENANT FAST CASUAL RESTAURANT WITH PICK UP SERVICE ONLY. WORK TO INCLUDE DEMO, NEW PARTITIONS, ELECTRICAL, MECHANICAL, AND PLUMBING AS PER PLANS. NO CHANGE IN USE.   (OCCUPANCY B-BUSINESS; CONSTRUCTION TYPE 1A)","1800","75","0","1875","0","0","0","0","0","0","0","0","1875","555000","32","839100","34","41.88269466861121","-87.63253142666058","POINT (-87.632531426661 41.882694668611)","row-zder~5qtv~fi5p","rv-sf5i.c4u7~e6ct","2026-03-05T13:13:33.658Z","2026-03-07T13:16:45.073Z","41","38","14310","92","36","22"
"3421711","101072074","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2025-07-25T00:00:00.000","2026-03-04T00:00:00.000","222","1949","W","51ST ST","SPR 2019 CBRC PROPOSED COOKING AREA FOR FAST FOOD CARRY-OUT RESTAURANT IN AN EXISTING PACKAGED GOODS LIQUOR STORE. INTERIOR WORK ONLY AS PER PLANS - (OCCUPANCY M CLASSIFICATION, TYPE IIIB CONSTRUCTION )","900","75","0","975","0","0","0","0","0","0","0","0","975","45000","61","611700","16","41.801127809125994","-87.67408034407643","POINT (-87.674080344076 41.801127809126)","row-awag-c4y4~czws","rv-kt32~cfmq_iup2","2026-03-05T13:13:33.658Z","2026-03-07T13:16:45.073Z","37","59","14924","767","2","19"
"3440392","101079673","PERMIT - RENOVATION/ALTERATION","SELF CERT","2026-02-13T00:00:00.000","2026-03-03T00:00:00.000","18","507","N","WELLS ST","SELF-CERT 2019 CBRC: INTERIOR RENOVATION OF EXISTING HAIR SALON AT 1ST FLOOR AND BASEMENT IN EXISTING III-A MASONRY BUILDING. CHANGE IN USE FROM GROUP B BUSINESS PERSONAL SERVICE TO GROUP A-2 ASSEMBLY GENERAL RESTAURANT.","4523.6","1500","0","6023.6","0","0","0","0","0","0","0","0","6023.6","200000","8","81700","42","41.89104364682871","-87.63390826446351","POINT (-87.633908264464 41.891043646829)","row-gt5d_x953-apx3","rv-2ctb-tmbc_xj2p","2026-03-04T13:14:31.842Z","2026-03-04T13:14:49.008Z","55","37","4446","670","36","22"
"3428157","101074817","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2025-11-06T00:00:00.000","2026-02-26T00:00:00.000","112","4968","N","ELSTON AVE","INTERIOR REMODEL OF EXISTING TAKE-OUT RESTAURANT + NEW KITCHEN HOOD IN EXISTING, 1 STORY, MASONRY BUILDING. REMOVE NON-CONFORMING ROOF EXTENSION IN FRONT. (OCCUPANCY GROUP M, TYPE 3A CONSTRUCTION)","900","75","1800","2775","0","0","0","0","0","0","0","0","2775","25000","14","140400","39","41.970833760208265","-87.74482421972742","POINT (-87.744824219727 41.970833760208)","row-fsem-g5sx.s5z4","rv-vgqq~xa5w_yzeq","2026-02-27T13:18:16.528Z","2026-03-03T13:15:00.596Z","48","14","21869","751","38","28"
"3437688","101078606","PERMIT - RENOVATION/ALTERATION","SELF CERT","2026-01-23T00:00:00.000","2026-02-26T00:00:00.000","34","2321","N","LINCOLN AVE","2019 CHICAGO BUILDING CODE - SELF-CERT PROGRAM - SCOPE OF WORK TO INCLUDE:  INTERIOR RENOVATION OF EXISTING GROUP B BUSINESS SPACE FOR NEW BAGEL CARRY-OUT RESTAURANT IN EXISTING TYPE I-A BUILDING WITH REVISED MEP AS SHOWN PER PLANS. NO EXPANSION OR CHANGE OF USE. AREA OF WORK 1,478 S.F.","1800","1500","0","3300","0","0","0","0","0","0","0","0","3300","100000","7","71200","43","41.924207920242395","-87.6468181094676","POINT (-87.646818109468 41.924207920242)","row-by5t_iksk~672e","rv-zc4p-psie~56r6","2026-02-27T13:18:16.528Z","2026-02-27T13:18:21.483Z","16","68","21190","798","34","51"
"N2822893","B200454697","PERMIT – EXPRESS PERMIT PROGRAM","EXPRESS PERMIT PROGRAM","2026-01-27T00:00:00.000","2026-02-26T00:00:00.000","30","5311","S","LAKE PARK AVE","SCOPE: NONSTRUCTURAL INTERIOR ALTERATION AT EXISTING RESTAURANT FOR NEW TO GO AREA (492 SQ FT), TO INCLUDE NEW NON-LOAD BEARING PARTITION WITH ELECTRTICAL AND PLUMBING FOR TWO NEW HAND SINKS. LOCATIONS: 0 RESIDENTIAL UNIT(S), 1 NON-RESIDENTIAL UNIT(S), NORTH PORTION OF DINING AREA IN RESTAURANT.","250","50","50","350","0","0","0","0","0","0","0","0","350","50000","41","410900","5","41.7991976099817","-87.5871240872428","POINT (-87.587124087243 41.799197609982)","row-7gnp-gcvv~sv8p","rv-2rgy_gbf2.5bmd","2026-02-27T13:18:16.528Z","2026-02-27T13:18:21.483Z","10","8","21192","501","33","32"
"N2837580","B200457901","PERMIT – EXPRESS PERMIT PROGRAM","EXPRESS PERMIT PROGRAM","2026-02-20T00:00:00.000","2026-02-26T00:00:00.000","6","1","S","WACKER DR","FIRE ALARM: MODIFICATION OF EXISTING SYSTEM. ASSOCIATED BUILDING PERMIT:101074128. AFFECTS: 0 DWELLING UNITS; 1 NON-RESIDENTIAL UNITS. HIGH-RISE BUILDING: YES. VOICE COMMUNICATION: YES. SPECIAL LOCKING: NO. MONITORING TYPE: SUPERVISING STATION . SPECIFIC LOCATION: FIRST FLOOR RESTAURANT.","150","0","25","175","0","0","0","0","0","0","0","0","175",,"32","320300","42","41.88188622746245","-87.63661833048015","POINT (-87.63661833048 41.881886227462)","row-wpa2-ph2g_445k","rv-kev4_f2ai_65xt","2026-02-27T13:18:16.528Z","2026-02-27T13:18:21.483Z","46","38","14914","92","36","48"
"N2847772","B200460180","PERMIT – EXPRESS PERMIT PROGRAM","EXPRESS PERMIT PROGRAM","2026-02-24T00:00:00.000","2026-02-25T00:00:00.000","1","847","W","FULTON MARKET","LOW VOLTAGE/COMMUNICATION ELECTRICAL WORK. INSTALL DATA/VIDEO. SPECIFIC LOCATION: STORE 108 NEW RESTAURANT.","0","0","25","25","0","0","0","0","75","0","0","75","100","5000","28","280200","27","41.88666389977879","-87.64934266534462","POINT (-87.649342665345 41.886663899779)","row-iugz.hpdt.whuh","rv-5mmx.qbq4~4wgs","2026-02-26T13:18:51.287Z","2026-02-26T13:19:11.208Z","44","29","14917","63","46","41"
"3424526","101073264","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2025-08-21T00:00:00.000","2026-02-25T00:00:00.000","188","2623","W","LAWRENCE AVE","SPR 2019 CBC  INTERIOR ALTERATIONS TO AN EXISITING RESTAURANT IN 2625 W LAWRENCE TO CHANGE INTO A SUSHI RESTAURANT. THIS PERMIT WILL ALSO ADDRESS THE CODE VIOLATIONS. REMOVING THE BASEMENT TO STORAGE ONLY AS PER PLAN ON AN EXISITNG 3A CONSTRUCTION","900","75","0","975","0","0","0","0","0","0","0","0","975","50000","4","40700","40","41.96845299892977","-87.69478991888829","POINT (-87.694789918888 41.96845299893)","row-2w9v_rmxn~e6ye","rv-d54u_izya-6ddw","2026-02-26T13:18:51.287Z","2026-02-27T13:18:16.528Z","20","6","21849","666","24","13"
"3425591","101073731","PERMIT - RENOVATION/ALTERATION","SELF CERT","2025-11-21T00:00:00.000","2026-02-24T00:00:00.000","95","3835","W","31ST ST","SELF-CERT: INTERIOR AND EXTERIOR REHABILITATION OF THE EXISTING RESTAURANT, INCLUDING A ONE-STORY WEST ADDITION. WORK INCLUDES REMOVING AND REPLACING THE FACE BRICK ON THE SOUTH AND EAST ELEVATIONS, AS SHOWN ON THE ARCHITECT'S PLANS, FOR THE EXISTING ONE-STORY WITH PARTIAL BASEMENT BRICK BUILDING. THE SCOPE OF WORK INCLUDES: ARCHITECTURE, PLUMBING, HVAC, AND ELECTRICAL. CURRENT & PROPOSED USE: RESTAURANT","3212.1","75","0","3287.1","0","0","0","0","0","0","0","0","3287.1","95000","30","830500","22","41.836833676558776","-87.72083154727216","POINT (-87.720831547272 41.836833676559)","row-hwzg~d4k6~35zw","rv-hggx_b8hw_bite","2026-02-25T13:13:56.844Z","2026-03-09T12:12:48.602Z","57","32","21569","200","28","14"
"N2799561","B200448539","PERMIT – EXPRESS PERMIT PROGRAM","EXPRESS PERMIT PROGRAM","2026-01-15T00:00:00.000","2026-02-23T00:00:00.000","39","3877","N","ELSTON AVE","SCOPE: NONSTRUCTURAL INTERIOR ALTERATION OF FORMER RESTAURANT, NO COOKING EQUIPMENT, REPLACEMENT OF PLUMBING FIXTURES AND ASSOCIATED PIPING, REWORK ELECTRICAL.  LOCATIONS: 0 RESIDENTIAL UNIT(S), 0 NON-RESIDENTIAL UNIT(S), INTERIOR HOOKAH BAR","500","50","125","675","0","0","0","0","0","0","0","0","675","58000","16","160800","35","41.951897553868875","-87.71631400456782","POINT (-87.716314004568 41.951897553869)","row-6hpd~73pa_z9pm","rv-famq.ea4e_tgbt","2026-02-24T13:19:49.539Z","2026-03-11T14:56:41.089Z","39","16","21538","325","12","15"
"3440409","101079682","PERMIT - NEW CONSTRUCTION","STANDARD PLAN REVIEW","2026-02-14T00:00:00.000","2026-02-19T00:00:00.000","5","3471","N","ELSTON AVE","PERMIT EXPIRES ON 04/19/2026 ERECTION STARTS: 3/5/2026, ERECTION ENDS: 3/24/2026.  SELF CERT. CBC 2019 - REINSTATEMENT OF 2025 PERMIT 101065712 FOR THE 2026 CHIEF ONEILLS PUB AND RESTAURANT ST PATRICKS FEST DINING TENT IN COURTYARD ON MARCH 13 - MARCH 19, 2026. SET-UP IS MARCH 5 AND TAKEDOWN IS MARCH 24, 2026. SAME 1-30X85 TENT. CHIEF ONEILLS PUB AND RESTAURANT.","306","75","0","381","0","0","0","0","0","0","0","0","381","4000","21","210100","33","41.944311953934424","-87.7052548221551","POINT (-87.705254822155 41.944311953934)","row-7zyc~4zcr-fkdd","rv-s32y.dw9f~xfkf","2026-02-20T13:13:18.975Z","2026-02-21T13:17:08.139Z","39","22","21538","425","20","2"
"N2837054","B200457787","PERMIT – EXPRESS PERMIT PROGRAM","EXPRESS PERMIT PROGRAM","2026-02-02T00:00:00.000","2026-02-11T00:00:00.000","9","1015","W","LAKE ST","SCOPE: NONSTRUCTURAL INTERIOR ALTERATION INCLUDING ELECTRICAL AND PLUMBING IN EXISTING SERVICE AREA AND EXISTING SALES AREA. LOCATIONS: 0 RESIDENTIAL UNIT(S), 1 NON-RESIDENTIAL UNIT(S), INTERIOR REMODEL OF EXISTING DUNKIN RESTAURANT.","250","50","25","325","0","0","0","0","0","0","0","0","325","89210","28","280200","27","41.885462128295","-87.65280681385605","POINT (-87.652806813856 41.885462128295)","row-j3ss_97et~wcpq","rv-b4vi~cqdt~fvij","2026-02-12T13:11:59.553Z","2026-02-12T13:12:28.677Z","44","29","14917","63","46","41"
"3417640","101070215","PERMIT - RENOVATION/ALTERATION","DIRECT DEVELOPER SERVICES","2025-06-10T00:00:00.000","2026-02-11T00:00:00.000","246","1330","W","MADISON ST","DDS 2019 CBRC: DEMOLISH EXISTING RESTAURANT KITCHEN AREA AND TWO BATHROOMS AND EXTEND NEW KITCHEN ABOUT 25FT.  NEW EXTENSION WILL BE FOR NEW BATHROOMS, DINING, KITCHEN AND SECONDARY ACCESS TO BASEMENT LEVEL DINING, BAR, RESTROOMS AND SECONDARY ACCESS TO PREP KITCHEN. EXISTING DINING, BAR, PREP KITCHEN, COOLERS ARE TO REMAIN.  REMOVAL OF EXISTING NON CONFORMING RESIDENTIAL STAIR TOWER ON NORTH END AND REBUILD. ADDRESS THE REPLACEMENT OF THE FRONT MASONRY FACADE COMPLETED WITHOUT A PERMIT (OCCUPANCY GROUP B; TYPE IIB CONSTRUCTION) CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING","1544.82","75","375","1994.82","0","0","0","0","0","0","0","0","1994.82","476000","28","833000","27","41.881664879645825","-87.66085705159813","POINT (-87.660857051598 41.881664879646)","row-mv62_3mkk.bkxx","rv-kqdu_ebss~xdpv","2026-02-12T13:11:59.553Z","2026-02-19T13:11:06.427Z","44","29","14917","63","46","41"
"3426765","101074267","PERMIT - RENOVATION/ALTERATION","SELF CERT","2025-12-19T00:00:00.000","2026-02-11T00:00:00.000","54","3058","W","CERMAK RD","SELF CERT: TAKE-OUT RESTAURANT INTERIOR BUILD-OUT ONLY FROM AN EXISTING COMMERCIAL SPACE WITH ASSOCIATED ARCHITECTURAL, MECHANICAL, ELECTRICAL AND PLUMBING WORK","300","75","0","375","2234.5","0","0","2234.5","0","0","0","0","2609.5","150000","30","841700","24","41.85191056021294","-87.7026796271309","POINT (-87.702679627131 41.851910560213)","row-p5yx_bgek_mnkr","rv-e353_ab65~r4r2","2026-02-12T13:11:59.553Z","2026-02-12T13:12:28.677Z","57","32","21569","201","14","36"
"N2838250","B200458085","PERMIT – EXPRESS PERMIT PROGRAM","EXPRESS PERMIT PROGRAM","2026-02-05T00:00:00.000","2026-02-10T00:00:00.000","5","2115","S","STATE ST","SCOPE: NONSTRUCTURAL INTERIOR ALTERATION OF EXISTING RESTAURANT TO RELOCATE 180 SQ FT BAR AND BUILD 120 SF PLATFORM FOR RAISED DINING AREA, INCLUDES PLUMBING AND ELECTRICAL PER PLANS. LOCATIONS: 0 RESIDENTIAL UNIT(S), 1 NON-RESIDENTIAL UNIT(S), 1ST FLOOR RESTAURANT.","250","50","25","325","0","0","0","0","0","0","0","0","325","3000","33","330100","3","41.85376809634427","-87.62695735958255","POINT (-87.626957359583 41.853768096344)","row-gsd8-fg87.at25","rv-v3ds_9v28~qqum","2026-02-11T13:21:47.241Z","2026-02-11T13:21:53.348Z","40","34","21194","374","9","12"
"3394433","101060526","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2024-10-04T00:00:00.000","2026-02-09T00:00:00.000","493","617","N","CICERO AVE","SPR 2019 CBRC CONVERSION OF EXISTING GROUND FLOOR RETAIL & RESIDENTIAL SPACE TO A NEW RESTAURANT, INTERIOR RENOVATION TO 2ND & 3RD FLOOR DWELLING UNITS INCLUDES: NEW REAR WOOD DECK & STAIRS, REPAIR & RESOLVE BUILDING VIOLATIONS WITH ARCHITECTURAL, M.E.P. TO CONVERT NONCONFORMING REAR DWELLING UNIT TO STORAGE SPACE FOR A TOTAL OF A 2ND AND 3RD FLOOR DWELLING UNIT (R2 OCCUPANCY)AND SMALL RESTAURANT(B OCCUPANCY) EXISTING 3 STORY MIXED USE IIIA CONSTRUCTION BUILDING PER PLANS.**CERTIFIED PLANS CORRECTIONS: CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS**","4418.13","75","0","4493.13","0","0","0","0","0","0","0","0","4493.13","140000","25","251700","28","41.891920489019896","-87.74555147140606","POINT (-87.745551471406 41.89192048902)","row-ss2d-757a-9ziz","rv-tsz8-9zrq.kjwm","2026-02-10T13:18:39.592Z","2026-02-13T13:13:56.733Z","32","26","22216","695","23","11"
"3434380","101077432","PERMIT - RENOVATION/ALTERATION","SELF CERT","2025-12-31T00:00:00.000","2026-02-05T00:00:00.000","36","2020","N","HALSTED ST","SELF-CERT 2019 CBRC: INTERIOR RENOVATION OF THE EXISTING (2) THIRD FLOOR RESIDENTIAL UNITS IN THE EXISTING 3- STORY BUILDING. NO WORK TO THE RESTAURANT ON THE 1ST AND 2ND FLOOR. DECONVERSION PERMIT ISSUED UNDER PERMIT NO. 101059902. (OCCUPANCY GROUP A-2 & R-2; TYPE IIIA CONSTRUCTION)","1131.78","75","0","1206.78","0","0","0","0","0","0","0","0","1206.78","250000","7","71100","43","41.91883058862089","-87.64868108652085","POINT (-87.648681086521 41.918830588621)","row-jff4_7df3~9k3q","rv-tdfj_c67a.tjhj","2026-02-06T13:19:45.173Z","2026-03-10T12:11:53.857Z","16","68","21190","744","34","51"
"3425671","101073788","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2025-09-29T00:00:00.000","2026-02-05T00:00:00.000","129","2112","N","CLYBOURN AVE","SPR CBC 2019· EXISTING 1 STORY COMMERCIAL TENANT SPACE INTERIOR BUILD-OUT FOR RESTAURANT.· ELECTRIC SERVICE LINE UPGRADE TO 800 AMP.- STOREFRONT WINDOW REMODEL.- EXTERIOR SIGN CHANGE.","4536.48","75","0","4611.48","0","0","0","0","0","0","0","0","4611.48","100000","7","832500","2","41.919535934990385","-87.66172369432505","POINT (-87.661723694325 41.91953593499)","row-hwnz-8sxw-mzvz","rv-mzv7_vetn_qnrc","2026-02-06T13:19:45.173Z","2026-02-06T13:20:16.553Z","16","68","21190","210","11","51"
"3432584","101076704","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2025-11-21T00:00:00.000","2026-02-04T00:00:00.000","75","2032","W","ROSCOE ST","SPR 2019 CBRC - ALTERATIONS TO EXISTING RESTAURANT SINGLE TENANT STRUCTURE TENANT (CON TYPE V-A OCC B)**CERTIFIED CORRECTIONS SUBJECT TO FIELD INSPECTIONS & AUDIT **","1800","75","0","1875","0","0","0","0","0","0","0","0","1875","750000","5","50800","32","41.943312712450826","-87.67972196894465","POINT (-87.679721968945 41.943312712451)","row-zmcv-jfsa-979q","rv-vqq2_m25b-busi","2026-02-05T13:17:05.002Z","2026-02-05T13:17:33.299Z","39","46","21538","614","40","16"
"3437877","101078671","PERMIT - RENOVATION/ALTERATION","SELF CERT","2026-01-27T00:00:00.000","2026-02-04T00:00:00.000","8","1730","W","FULLERTON AVE","SELF-CERT 2019 CBRC: INTERIOR ALTERATION (BUILD-OUT) OF 1370 SQ FT VACANT SPACE FOR NEW BARRIO BURRITO BAR RESTAURANT; MEP AS PER PLANS(OCCUPANCY A2, CONSTR TYP IIA)","1800","75","0","1875","0","0","0","0","0","0","0","0","1875","300000","7","70700","32","41.92521232759425","-87.67192542513618","POINT (-87.671925425136 41.925212327594)","row-74dk-utub-rbuu","rv-p22i_2ucu-8inx","2026-02-05T13:17:05.002Z","2026-02-06T13:19:45.173Z","16","68","21190","743","40","16"
"N2838164","B200458063","PERMIT – EXPRESS PERMIT PROGRAM","EXPRESS PERMIT PROGRAM","2026-02-04T00:00:00.000","2026-02-04T00:00:00.000","0","1027","W","ADDISON ST","LOW VOLTAGE/COMMUNICATION ELECTRICAL WORK. INSTALL AUDIO. SPECIFIC LOCATION: RESTAURANT.","75","0","25","100","0","0","0","0","0","0","0","0","100","5500","6","61600","44","41.94711653707501","-87.65545987326549","POINT (-87.655459873265 41.947116537075)","row-qdub_wvst.ws9u","rv-4jhv~wkg8~emxn","2026-02-05T13:17:05.002Z","2026-02-05T13:17:33.299Z","22","57","4449","211","25","38"
"3412395","101068099","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2025-04-21T00:00:00.000","2026-02-03T00:00:00.000","288","315","W","NORTH AVE","EXISTING TAKE-OUT RESTAURANT SPACE (MERCHANTILE OCCUPANCY) WITH EXISTING TOILET ROOM, ELECTRICAL, HVAC, AND SINKS TO BE USED BY NEW TAKE-OUT RESTAURANT TENANT (MERCHANTILE OCCUPANCY) WITH NEW PLUG-IN EQUIPMENT. NO HOOD EXISTS OR REQUIRED FOR NEW USER. A BUILDING PERMIT IS REQUIRED FOR BUSINESS LICENSE.(CONDITIONAL PERMIT UBJECT TO FIELD INSPECTIONS)","300","75","0","375","2150","0","0","2150","0","0","0","0","2525","5000","8","80300","2","41.911023454213606","-87.63731328770206","POINT (-87.637313287702 41.911023454214)","row-t6ne~s7ab_k9gv","rv-y86a-95pd_e7eq","2026-02-04T13:15:52.247Z","2026-02-04T13:16:10.922Z","54","37","14926","290","46","41"
"3434493","101077488","PERMIT - RENOVATION/ALTERATION","SELF CERT","2025-12-23T00:00:00.000","2026-02-03T00:00:00.000","42","1846","W","DIVISION ST","SELF CERT: RESTAURANT INTERIOR BUILD-OUT FROM EXISTING RESTAURANT TENANT SPACE","5516.1","75","0","5591.1","0","0","0","0","0","0","0","0","5591.1","500000","24","241400","1","41.903347721966696","-87.6742741150143","POINT (-87.674274115014 41.903347721967)","row-47uc-aqfw~p4z4","rv-dh7d-xkib~9ymr","2026-02-04T13:15:52.247Z","2026-02-12T13:11:59.553Z","4","25","21560","481","41","24"
"3427071","101074391","PERMIT - RENOVATION/ALTERATION","DIRECT DEVELOPER SERVICES","2025-09-18T00:00:00.000","2026-01-30T00:00:00.000","134","2701","N","CLARK ST","DDS 2019 CBC: FULL BUILDING PERMIT FOR ALTERATION AND ADDITION OF 5 STORY, 25 DWELLING UNIT MIXED-USE BUILDING WITH RETAIL AND RESTAURANT SPACES AT THE GROUND FLOOR AND BASEMENT LEVEL. THE EXISTING BUILDING IS 3-STORY, 50 SINGLE-ROOM-OCCUPANCY UNIT MIXED-USE BUILDING WITH RETAIL  AT THE GROUND FLOOR AND BASEMENT. PROJECT INCLUDES AN OCCUPIED ROOF DECK, PERGOLA, INDOOR TRASH STORAGE AND BIKE PARKING. NO VEHICULAR PARKING IS INCLUDED. (OCCUPANCY GROUP A-2, M, R-2. TYPE IIIA CONSTRUCTION). CONSULTANT REVIEWER: V3 COMPANIES OF IL","23658.96","6550","0","30208.96","0","0","0","0","0","0","0","0","30208.96","4000000","7","70102","43","41.93140751669494","-87.64415515084062","POINT (-87.644155150841 41.931407516695)","row-hkcz.cz4j-tvm9","rv-8mhk~5e69~kifw","2026-01-31T13:08:35.824Z","2026-02-02T13:20:48.993Z","16","68","21190","18","34","51"
"3431731","101076320","PERMIT - RENOVATION/ALTERATION","SELF CERT","2025-11-09T00:00:00.000","2026-01-30T00:00:00.000","82","2306","S","WENTWORTH AVE","INTERIOR REMODELING OF THE EXISTING RESTAURANT TO A NEW DINING EXPANSION OF THE EXISTING DINING AREA LOCATED AT 2312 S WENTWORTH RESTAURANT.","1800","75","0","1875","0","0","0","0","0","0","0","0","1875","100000","34","841100","11","41.85074768840573","-87.6321153569279","POINT (-87.632115356928 41.850747688406)","row-htdh~6mve.cb7j","rv-kfxz.zvjh_w7ad","2026-01-31T13:08:35.824Z","2026-02-02T13:20:48.993Z","40","35","21194","3","26","8"
"3427773","101074691","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2025-10-09T00:00:00.000","2026-01-30T00:00:00.000","113","3530","N","CLARK ST","2019 CBC SPR: INTERIOR RENOVATION FOR NEW BAR ON SECOND FLOOR WITHIN AN EXISTING TWO-STORY RESTAURANT IN A THREE-STORY MIXED-USE BUILDING (TYPE I-B CONSTRUCTION, A-2 OCCUPANCY).**CERTIFIED CORRECTIONS SUBJECT TO FIELD INSPECTIONS & AUDIT **","1800","75","0","1875","0","0","0","0","0","0","0","0","1875","10000","6","832000","44","41.94634047438016","-87.65599520228524","POINT (-87.655995202285 41.94634047438)","row-ihzb~re6s-vnfs","rv-7ggw-9mpp~j5r9","2026-01-31T13:08:35.824Z","2026-02-06T13:19:45.173Z","22","57","4449","211","25","38"
